Ticker,pos_then_up,pos_then_down,neg_then_up,neg_then_down,considered,total_earnings,sum_pct
PODD,21/72 = 29.17%,20/72 = 27.78%,18/72 = 25.00%,13/72 = 18.06%,72,73,100.01
EW,21/81 = 25.93%,17/81 = 20.99%,19/81 = 23.46%,24/81 = 29.63%,81,85,100.01
GPC,23/71 = 32.39%,16/71 = 22.54%,13/71 = 18.31%,19/71 = 26.76%,71,76,100.0
JKHY,24/84 = 28.57%,20/84 = 23.81%,20/84 = 23.81%,20/84 = 23.81%,84,85,100.0
CSCO,18/89 = 20.22%,23/89 = 25.84%,23/89 = 25.84%,25/89 = 28.09%,89,89,99.99
DVA,23/81 = 28.40%,13/81 = 16.05%,26/81 = 32.10%,19/81 = 23.46%,81,84,100.01
IR,11/34 = 32.35%,6/34 = 17.65%,6/34 = 17.65%,11/34 = 32.35%,34,34,100.0
AMZN,21/89 = 23.60%,20/89 = 22.47%,22/89 = 24.72%,26/89 = 29.21%,89,89,100.0
BK,21/71 = 29.58%,22/71 = 30.99%,19/71 = 26.76%,9/71 = 12.68%,71,74,100.01
DG,27/64 = 42.19%,20/64 = 31.25%,9/64 = 14.06%,8/64 = 12.50%,64,64,100.0
TXT,19/78 = 24.36%,22/78 = 28.21%,18/78 = 23.08%,19/78 = 24.36%,78,82,100.01
CBRE,15/81 = 18.52%,23/81 = 28.40%,17/81 = 20.99%,26/81 = 32.10%,81,85,100.01
AKAM,29/87 = 33.33%,17/87 = 19.54%,14/87 = 16.09%,27/87 = 31.03%,87,88,99.99
DAL,21/69 = 30.43%,28/69 = 40.58%,10/69 = 14.49%,10/69 = 14.49%,69,74,99.99
MSCI,31/72 = 43.06%,15/72 = 20.83%,13/72 = 18.06%,13/72 = 18.06%,72,72,100.01
MSFT,18/88 = 20.45%,34/88 = 38.64%,11/88 = 12.50%,25/88 = 28.41%,88,89,100.0
ATO,19/82 = 23.17%,25/82 = 30.49%,22/82 = 26.83%,16/82 = 19.51%,82,85,100.0
MELI,18/71 = 25.35%,24/71 = 33.80%,18/71 = 25.35%,11/71 = 15.49%,71,72,99.99
CRL,20/83 = 24.10%,28/83 = 33.73%,15/83 = 18.07%,20/83 = 24.10%,83,86,100.0
BLDR,19/76 = 25.00%,28/76 = 36.84%,16/76 = 21.05%,13/76 = 17.11%,76,82,100.0
SWK,15/83 = 18.07%,20/83 = 24.10%,19/83 = 22.89%,29/83 = 34.94%,83,85,100.0
RMD,27/84 = 32.14%,25/84 = 29.76%,13/84 = 15.48%,19/84 = 22.62%,84,85,100.0
HRL,24/80 = 30.00%,16/80 = 20.00%,17/80 = 21.25%,23/80 = 28.75%,80,85,100.0
VRSN,23/85 = 27.06%,17/85 = 20.00%,28/85 = 32.94%,17/85 = 20.00%,85,85,100.0
CMI,27/82 = 32.93%,21/82 = 25.61%,15/82 = 18.29%,19/82 = 23.17%,82,84,100.0
WRB,24/83 = 28.92%,30/83 = 36.14%,15/83 = 18.07%,14/83 = 16.87%,83,88,100.0
QCOM,18/85 = 21.18%,20/85 = 23.53%,21/85 = 24.71%,26/85 = 30.59%,85,85,100.01
UHS,20/72 = 27.78%,16/72 = 22.22%,19/72 = 26.39%,17/72 = 23.61%,72,73,100.0
SYK,22/86 = 25.58%,22/86 = 25.58%,19/86 = 22.09%,23/86 = 26.74%,86,87,99.99
GDDY,14/43 = 32.56%,8/43 = 18.60%,5/43 = 11.63%,16/43 = 37.21%,43,43,100.0
TSLA,10/60 = 16.67%,16/60 = 26.67%,20/60 = 33.33%,14/60 = 23.33%,60,60,100.0
HII,17/55 = 30.91%,15/55 = 27.27%,11/55 = 20.00%,12/55 = 21.82%,55,58,100.0
ALGN,19/81 = 23.46%,24/81 = 29.63%,22/81 = 27.16%,16/81 = 19.75%,81,81,100.0
PEG,22/79 = 27.85%,20/79 = 25.32%,19/79 = 24.05%,18/79 = 22.78%,79,83,100.0
DECK,25/77 = 32.47%,20/77 = 25.97%,16/77 = 20.78%,16/77 = 20.78%,77,77,100.0
LH,5/40 = 12.50%,13/40 = 32.50%,13/40 = 32.50%,9/40 = 22.50%,40,41,100.0
AFL,30/82 = 36.59%,19/82 = 23.17%,22/82 = 26.83%,11/82 = 13.41%,82,85,100.0
ROK,22/85 = 25.88%,23/85 = 27.06%,22/85 = 25.88%,18/85 = 21.18%,85,89,100.0
LULU,20/73 = 27.40%,21/73 = 28.77%,14/73 = 19.18%,18/73 = 24.66%,73,73,100.01
TTD,15/37 = 40.54%,7/37 = 18.92%,10/37 = 27.03%,5/37 = 13.51%,37,37,100.0
ZTS,10/48 = 20.83%,20/48 = 41.67%,13/48 = 27.08%,5/48 = 10.42%,48,51,100.0
BEN,24/83 = 28.92%,18/83 = 21.69%,20/83 = 24.10%,21/83 = 25.30%,83,86,100.01
ADBE,23/88 = 26.14%,29/88 = 32.95%,14/88 = 15.91%,22/88 = 25.00%,88,89,100.0
SNA,22/81 = 27.16%,30/81 = 37.04%,14/81 = 17.28%,15/81 = 18.52%,81,85,100.0
KHC,10/42 = 23.81%,8/42 = 19.05%,12/42 = 28.57%,12/42 = 28.57%,42,42,100.0
DE,21/83 = 25.30%,18/83 = 21.69%,26/83 = 31.33%,18/83 = 21.69%,83,84,100.01
CBOE,20/60 = 33.33%,18/60 = 30.00%,13/60 = 21.67%,9/60 = 15.00%,60,61,100.0
GEHC,3/11 = 27.27%,3/11 = 27.27%,2/11 = 18.18%,3/11 = 27.27%,11,12,99.99
ADI,21/89 = 23.60%,23/89 = 25.84%,20/89 = 22.47%,25/89 = 28.09%,89,89,100.0
FIS,20/81 = 24.69%,28/81 = 34.57%,14/81 = 17.28%,19/81 = 23.46%,81,85,100.0
OKE,12/45 = 26.67%,17/45 = 37.78%,6/45 = 13.33%,10/45 = 22.22%,45,45,100.0
ITW,24/79 = 30.38%,30/79 = 37.97%,15/79 = 18.99%,10/79 = 12.66%,79,81,100.0
CZR,9/41 = 21.95%,16/41 = 39.02%,11/41 = 26.83%,5/41 = 12.20%,41,42,100.0
DELL,12/37 = 32.43%,4/37 = 10.81%,8/37 = 21.62%,13/37 = 35.14%,37,37,100.0
AMP,29/79 = 36.71%,19/79 = 24.05%,13/79 = 16.46%,18/79 = 22.78%,79,80,100.0
OXY,21/81 = 25.93%,20/81 = 24.69%,16/81 = 19.75%,24/81 = 29.63%,81,83,100.0
PFG,21/80 = 26.25%,19/80 = 23.75%,21/80 = 26.25%,19/80 = 23.75%,80,89,100.0
AEP,25/81 = 30.86%,20/81 = 24.69%,20/81 = 24.69%,16/81 = 19.75%,81,84,99.99
CHTR,16/59 = 27.12%,14/59 = 23.73%,17/59 = 28.81%,12/59 = 20.34%,59,63,100.0
MSI,30/86 = 34.88%,19/86 = 22.09%,15/86 = 17.44%,22/86 = 25.58%,86,88,99.99
DOV,28/87 = 32.18%,25/87 = 28.74%,11/87 = 12.64%,23/87 = 26.44%,87,88,100.0
BKNG,14/83 = 16.87%,32/83 = 38.55%,20/83 = 24.10%,17/83 = 20.48%,83,85,100.0
DPZ,18/75 = 24.00%,21/75 = 28.00%,19/75 = 25.33%,17/75 = 22.67%,75,82,100.0
CHD,24/82 = 29.27%,22/82 = 26.83%,16/82 = 19.51%,20/82 = 24.39%,82,85,100.0
FITB,15/46 = 32.61%,15/46 = 32.61%,11/46 = 23.91%,5/46 = 10.87%,46,48,100.0
PCG,15/45 = 33.33%,7/45 = 15.56%,9/45 = 20.00%,14/45 = 31.11%,45,45,100.0
WBD,12/64 = 18.75%,21/64 = 32.81%,15/64 = 23.44%,16/64 = 25.00%,64,69,100.0
ZS,10/29 = 34.48%,6/29 = 20.69%,4/29 = 13.79%,9/29 = 31.03%,29,29,99.99
BBY,14/80 = 17.50%,26/80 = 32.50%,22/80 = 27.50%,18/80 = 22.50%,80,84,100.0
SWKS,23/86 = 26.74%,19/86 = 22.09%,19/86 = 22.09%,25/86 = 29.07%,86,88,99.99
EIX,24/84 = 28.57%,21/84 = 25.00%,19/84 = 22.62%,20/84 = 23.81%,84,86,100.0
LUV,27/85 = 31.76%,21/85 = 24.71%,12/85 = 14.12%,25/85 = 29.41%,85,89,100.0
MS,22/79 = 27.85%,18/79 = 22.78%,22/79 = 27.85%,17/79 = 21.52%,79,83,100.0
CTRA,23/84 = 27.38%,26/84 = 30.95%,16/84 = 19.05%,19/84 = 22.62%,84,85,100.0
TPL,5/20 = 25.00%,5/20 = 25.00%,6/20 = 30.00%,4/20 = 20.00%,20,20,100.0
DTE,11/52 = 21.15%,15/52 = 28.85%,17/52 = 32.69%,9/52 = 17.31%,52,53,100.0
GEV,3/6 = 50.00%,2/6 = 33.33%,1/6 = 16.67%,0/6 = 0.00%,6,6,100.0
AME,20/83 = 24.10%,29/83 = 34.94%,17/83 = 20.48%,17/83 = 20.48%,83,85,100.0
ROP,23/81 = 28.40%,28/81 = 34.57%,15/81 = 18.52%,15/81 = 18.52%,81,84,100.01
EL,19/84 = 22.62%,18/84 = 21.43%,24/84 = 28.57%,23/84 = 27.38%,84,84,100.0
LHX,27/84 = 32.14%,25/84 = 29.76%,13/84 = 15.48%,19/84 = 22.62%,84,86,100.0
JBL,31/89 = 34.83%,21/89 = 23.60%,16/89 = 17.98%,21/89 = 23.60%,89,89,100.01
TMO,25/80 = 31.25%,24/80 = 30.00%,16/80 = 20.00%,15/80 = 18.75%,80,84,100.0
CTVA,7/24 = 29.17%,4/24 = 16.67%,9/24 = 37.50%,4/24 = 16.67%,24,26,100.01
FE,22/79 = 27.85%,21/79 = 26.58%,11/79 = 13.92%,25/79 = 31.65%,79,83,100.0
MKC,15/74 = 20.27%,24/74 = 32.43%,19/74 = 25.68%,16/74 = 21.62%,74,78,100.0
COF,9/41 = 21.95%,11/41 = 26.83%,16/41 = 39.02%,5/41 = 12.20%,41,42,100.0
J,21/83 = 25.30%,26/83 = 31.33%,22/83 = 26.51%,14/83 = 16.87%,83,88,100.01
ADP,16/88 = 18.18%,20/88 = 22.73%,29/88 = 32.95%,23/88 = 26.14%,88,90,100.0
ACGL,21/84 = 25.00%,35/84 = 41.67%,14/84 = 16.67%,14/84 = 16.67%,84,85,100.01
DGX,21/83 = 25.30%,27/83 = 32.53%,17/83 = 20.48%,18/83 = 21.69%,83,84,100.0
EQIX,27/85 = 31.76%,23/85 = 27.06%,19/85 = 22.35%,16/85 = 18.82%,85,85,99.99
NFLX,28/85 = 32.94%,18/85 = 21.18%,11/85 = 12.94%,28/85 = 32.94%,85,85,100.0
DUK,13/61 = 21.31%,15/61 = 24.59%,12/61 = 19.67%,21/61 = 34.43%,61,65,100.0
STLD,21/76 = 27.63%,30/76 = 39.47%,15/76 = 19.74%,10/76 = 13.16%,76,77,100.0
V,17/69 = 24.64%,16/69 = 23.19%,19/69 = 27.54%,17/69 = 24.64%,69,71,100.01
SPGI,20/80 = 25.00%,23/80 = 28.75%,22/80 = 27.50%,15/80 = 18.75%,80,84,100.0
META,10/54 = 18.52%,22/54 = 40.74%,9/54 = 16.67%,13/54 = 24.07%,54,54,100.0
NCLH,13/52 = 25.00%,16/52 = 30.77%,5/52 = 9.62%,18/52 = 34.62%,52,52,100.01
ZBH,25/80 = 31.25%,22/80 = 27.50%,15/80 = 18.75%,18/80 = 22.50%,80,86,100.0
FFIV,23/85 = 27.06%,26/85 = 30.59%,27/85 = 31.76%,9/85 = 10.59%,85,85,100.0
RF,22/68 = 32.35%,14/68 = 20.59%,22/68 = 32.35%,10/68 = 14.71%,68,71,100.0
CRWD,8/25 = 32.00%,8/25 = 32.00%,5/25 = 20.00%,4/25 = 16.00%,25,25,100.0
BAC,21/78 = 26.92%,17/78 = 21.79%,17/78 = 21.79%,23/78 = 29.49%,78,81,99.99
SHOP,0/4 = 0.00%,1/4 = 25.00%,2/4 = 50.00%,1/4 = 25.00%,4,4,100.0
CCL,27/87 = 31.03%,28/87 = 32.18%,15/87 = 17.24%,17/87 = 19.54%,87,89,99.99
PLTR,8/21 = 38.10%,5/21 = 23.81%,1/21 = 4.76%,7/21 = 33.33%,21,21,100.0
AEE,17/82 = 20.73%,27/82 = 32.93%,19/82 = 23.17%,19/82 = 23.17%,82,87,100.0
GLW,23/81 = 28.40%,18/81 = 22.22%,24/81 = 29.63%,16/81 = 19.75%,81,85,100.0
AVGO,14/30 = 46.67%,7/30 = 23.33%,3/30 = 10.00%,6/30 = 20.00%,30,30,100.0
FSLR,24/74 = 32.43%,12/74 = 16.22%,13/74 = 17.57%,25/74 = 33.78%,74,74,100.0
INVH,7/34 = 20.59%,6/34 = 17.65%,13/34 = 38.24%,8/34 = 23.53%,34,35,100.01
GRMN,16/82 = 19.51%,22/82 = 26.83%,15/82 = 18.29%,29/82 = 35.37%,82,84,100.0
MAR,14/88 = 15.91%,24/88 = 27.27%,29/88 = 32.95%,21/88 = 23.86%,88,88,99.99
CMS,22/63 = 34.92%,16/63 = 25.40%,14/63 = 22.22%,11/63 = 17.46%,63,66,100.0
ABNB,6/20 = 30.00%,2/20 = 10.00%,8/20 = 40.00%,4/20 = 20.00%,20,20,100.0
NI,20/78 = 25.64%,20/78 = 25.64%,18/78 = 23.08%,20/78 = 25.64%,78,85,100.0
WDAY,14/51 = 27.45%,8/51 = 15.69%,17/51 = 33.33%,12/51 = 23.53%,51,52,100.0
MCHP,21/85 = 24.71%,26/85 = 30.59%,19/85 = 22.35%,19/85 = 22.35%,85,85,100.0
CVX,22/85 = 25.88%,13/85 = 15.29%,22/85 = 25.88%,28/85 = 32.94%,85,89,99.99
DIS,7/27 = 25.93%,11/27 = 40.74%,4/27 = 14.81%,5/27 = 18.52%,27,27,100.0
MPC,18/58 = 31.03%,18/58 = 31.03%,7/58 = 12.07%,15/58 = 25.86%,58,58,99.99
EXE,6/19 = 31.58%,6/19 = 31.58%,3/19 = 15.79%,4/19 = 21.05%,19,19,100.0
HPQ,25/83 = 30.12%,18/83 = 21.69%,18/83 = 21.69%,22/83 = 26.51%,83,84,100.01
IFF,24/85 = 28.24%,16/85 = 18.82%,20/85 = 23.53%,25/85 = 29.41%,85,88,100.0
MRNA,4/24 = 16.67%,6/24 = 25.00%,5/24 = 20.83%,9/24 = 37.50%,24,26,100.0
ACN,19/63 = 30.16%,16/63 = 25.40%,13/63 = 20.63%,15/63 = 23.81%,63,65,100.0
CCI,18/73 = 24.66%,19/73 = 26.03%,20/73 = 27.40%,16/73 = 21.92%,73,75,100.01
GEN,28/85 = 32.94%,13/85 = 15.29%,15/85 = 17.65%,29/85 = 34.12%,85,85,100.0
INTC,18/89 = 20.22%,23/89 = 25.84%,27/89 = 30.34%,21/89 = 23.60%,89,89,100.0
XEL,11/53 = 20.75%,21/53 = 39.62%,10/53 = 18.87%,11/53 = 20.75%,53,55,99.99
LII,29/81 = 35.80%,20/81 = 24.69%,15/81 = 18.52%,17/81 = 20.99%,81,85,100.0
DD,7/33 = 21.21%,9/33 = 27.27%,7/33 = 21.21%,10/33 = 30.30%,33,33,99.99
RVTY,21/83 = 25.30%,21/83 = 25.30%,23/83 = 27.71%,18/83 = 21.69%,83,89,100.0
SOLV,3/7 = 42.86%,2/7 = 28.57%,0/7 = 0.00%,2/7 = 28.57%,7,7,100.0
WEC,18/74 = 24.32%,17/74 = 22.97%,16/74 = 21.62%,23/74 = 31.08%,74,76,99.99
AES,28/82 = 34.15%,22/82 = 26.83%,13/82 = 15.85%,19/82 = 23.17%,82,84,100.0
NWSA,2/7 = 28.57%,3/7 = 42.86%,2/7 = 28.57%,0/7 = 0.00%,7,7,100.0
BR,20/70 = 28.57%,15/70 = 21.43%,18/70 = 25.71%,17/70 = 24.29%,70,73,100.0
EA,24/83 = 28.92%,18/83 = 21.69%,19/83 = 22.89%,22/83 = 26.51%,83,84,100.01
OMC,18/79 = 22.78%,20/79 = 25.32%,25/79 = 31.65%,16/79 = 20.25%,79,84,100.0
NOC,29/83 = 34.94%,19/83 = 22.89%,17/83 = 20.48%,18/83 = 21.69%,83,85,100.0
CVS,24/84 = 28.57%,25/84 = 29.76%,17/84 = 20.24%,18/84 = 21.43%,84,87,100.0
CNC,28/80 = 35.00%,27/80 = 33.75%,8/80 = 10.00%,17/80 = 21.25%,80,84,100.0
CSGP,27/83 = 32.53%,15/83 = 18.07%,21/83 = 25.30%,20/83 = 24.10%,83,86,100.0
EOG,22/84 = 26.19%,26/84 = 30.95%,12/84 = 14.29%,24/84 = 28.57%,84,84,100.0
HWM,15/36 = 41.67%,7/36 = 19.44%,5/36 = 13.89%,9/36 = 25.00%,36,36,100.0
ROL,26/70 = 37.14%,21/70 = 30.00%,14/70 = 20.00%,9/70 = 12.86%,70,70,100.0
WTW,23/82 = 28.05%,13/82 = 15.85%,25/82 = 30.49%,21/82 = 25.61%,82,85,100.0
MCO,21/83 = 25.30%,24/83 = 28.92%,18/83 = 21.69%,20/83 = 24.10%,83,85,100.01
TPR,19/79 = 24.05%,14/79 = 17.72%,23/79 = 29.11%,23/79 = 29.11%,79,84,99.99
HLT,8/46 = 17.39%,12/46 = 26.09%,13/46 = 28.26%,13/46 = 28.26%,46,48,100.0
CDNS,23/86 = 26.74%,25/86 = 29.07%,23/86 = 26.74%,15/86 = 17.44%,86,88,99.99
ADSK,21/81 = 25.93%,22/81 = 27.16%,19/81 = 23.46%,19/81 = 23.46%,81,84,100.01
KMB,23/79 = 29.11%,18/79 = 22.78%,17/79 = 21.52%,21/79 = 26.58%,79,84,99.99
ON,24/85 = 28.24%,26/85 = 30.59%,20/85 = 23.53%,15/85 = 17.65%,85,88,100.01
NTAP,19/88 = 21.59%,16/88 = 18.18%,38/88 = 43.18%,15/88 = 17.05%,88,88,100.0
SCHW,29/81 = 35.80%,24/81 = 29.63%,10/81 = 12.35%,18/81 = 22.22%,81,87,100.0
EFX,26/82 = 31.71%,18/82 = 21.95%,17/82 = 20.73%,21/82 = 25.61%,82,84,100.0
A,18/86 = 20.93%,27/86 = 31.40%,23/86 = 26.74%,18/86 = 20.93%,86,89,100.0
PG,9/69 = 13.04%,16/69 = 23.19%,22/69 = 31.88%,22/69 = 31.88%,69,69,99.99
HUBB,28/83 = 33.73%,18/83 = 21.69%,13/83 = 15.66%,24/83 = 28.92%,83,89,100.0
LVS,23/83 = 27.71%,22/83 = 26.51%,16/83 = 19.28%,22/83 = 26.51%,83,83,100.01
AMT,14/65 = 21.54%,15/65 = 23.08%,17/65 = 26.15%,19/65 = 29.23%,65,68,100.0
WSM,21/81 = 25.93%,22/81 = 27.16%,15/81 = 18.52%,23/81 = 28.40%,81,85,100.01
SHW,20/82 = 24.39%,20/82 = 24.39%,26/82 = 31.71%,16/82 = 19.51%,82,86,100.0
HON,15/85 = 17.65%,21/85 = 24.71%,33/85 = 38.82%,16/85 = 18.82%,85,89,100.0
AZO,24/83 = 28.92%,20/83 = 24.10%,20/83 = 24.10%,19/83 = 22.89%,83,85,100.01
JBHT,22/84 = 26.19%,16/84 = 19.05%,24/84 = 28.57%,22/84 = 26.19%,84,85,100.0
